#  NACA 0012                                       
#  alpha =   2.0000
#  Mach  =   0.0000
#  Reyn  =   200000
#  Ncrit =   9.0000
#
#    x           cf
   0.70408E-03  0.67203E-02
   0.24574E-03  0.15453E-01
   0.26213E-04  0.22550E-01
   0.26206E-04  0.30325E-01
   0.24572E-03  0.35693E-01
   0.70408E-03  0.39882E-01
   0.14132E-02  0.41029E-01
   0.23779E-02  0.40621E-01
   0.35991E-02  0.38261E-01
   0.50781E-02  0.35244E-01
   0.68196E-02  0.32039E-01
   0.88340E-02  0.28491E-01
   0.11140E-01  0.25658E-01
   0.13763E-01  0.22647E-01
   0.16743E-01  0.20060E-01
   0.20129E-01  0.17834E-01
   0.23986E-01  0.15806E-01
   0.28396E-01  0.13951E-01
   0.33459E-01  0.12402E-01
   0.39294E-01  0.10975E-01
   0.46033E-01  0.97926E-02
   0.53802E-01  0.86492E-02
   0.62705E-01  0.77066E-02
   0.72782E-01  0.68575E-02
   0.83993E-01  0.61201E-02
   0.96218E-01  0.54901E-02
   0.10929      0.49324E-02
   0.12303      0.44605E-02
   0.13730      0.40356E-02
   0.15196      0.36647E-02
   0.16693      0.33371E-02
   0.18214      0.30348E-02
   0.19755      0.27689E-02
   0.21313      0.25153E-02
   0.22884      0.22914E-02
   0.24467      0.20794E-02
   0.26060      0.18835E-02
   0.27662      0.16941E-02
   0.29272      0.15235E-02
   0.30888      0.13570E-02
   0.32511      0.12024E-02
   0.34140      0.10563E-02
   0.35774      0.91588E-03
   0.37412      0.78506E-03
   0.39055      0.66237E-03
   0.40701      0.54513E-03
   0.42351      0.43794E-03
   0.44004      0.33751E-03
   0.45660      0.24703E-03
   0.47319      0.16425E-03
   0.48980      0.93018E-04
   0.50644      0.29503E-04
   0.52309     -0.23598E-04
   0.53976     -0.67327E-04
   0.55645     -0.10201E-03
   0.57315     -0.12846E-03
   0.58987     -0.14736E-03
   0.60659     -0.15916E-03
   0.62333     -0.16411E-03
   0.64008     -0.16217E-03
   0.65683     -0.15165E-03
   0.67359     -0.12820E-03
   0.69035     -0.82600E-04
   0.70712      0.69223E-04
   0.72389      0.49389E-03
   0.74066      0.10660E-02
   0.75742      0.16826E-02
   0.77419      0.22413E-02
   0.79095      0.26881E-02
   0.80771      0.32163E-02
   0.82446      0.36226E-02
   0.84120      0.39125E-02
   0.85793      0.41038E-02
   0.87462      0.42108E-02
   0.89128      0.42511E-02
   0.90784      0.42360E-02
   0.92422      0.41739E-02
   0.94026      0.40704E-02
   0.95567      0.39362E-02
   0.96999      0.37751E-02
   0.98277      0.36010E-02
   0.99372      0.34212E-02
    1.0000      0.33737E-02
    1.0001       0.0000    
    1.0064       0.0000    
    1.0139       0.0000    
    1.0226       0.0000    
    1.0328       0.0000    
    1.0448       0.0000    
    1.0588       0.0000    
    1.0753       0.0000    
    1.0945       0.0000    
    1.1172       0.0000    
    1.1437       0.0000    
    1.1747       0.0000    
    1.2112       0.0000    
    1.2539       0.0000    
    1.3040       0.0000    
    1.3627       0.0000    
    1.4315       0.0000    
    1.5122       0.0000    
    1.6067       0.0000    
    1.7176       0.0000    
    1.8476       0.0000    
    1.9999       0.0000    

   0.14133E-02  0.50751E-03
   0.23780E-02  0.67015E-02
   0.35992E-02  0.10989E-01
   0.50782E-02  0.14391E-01
   0.68196E-02  0.15783E-01
   0.88341E-02  0.17012E-01
   0.11140E-01  0.16991E-01
   0.13763E-01  0.16940E-01
   0.16743E-01  0.16410E-01
   0.20129E-01  0.15687E-01
   0.23986E-01  0.14937E-01
   0.28396E-01  0.14062E-01
   0.33459E-01  0.13227E-01
   0.39295E-01  0.12286E-01
   0.46033E-01  0.11414E-01
   0.53802E-01  0.10576E-01
   0.62705E-01  0.97484E-02
   0.72782E-01  0.89678E-02
   0.83993E-01  0.82647E-02
   0.96218E-01  0.76099E-02
   0.10929      0.70405E-02
   0.12303      0.65011E-02
   0.13730      0.60558E-02
   0.15196      0.56289E-02
   0.16693      0.52580E-02
   0.18214      0.49209E-02
   0.19755      0.46160E-02
   0.21313      0.43326E-02
   0.22884      0.40785E-02
   0.24467      0.38462E-02
   0.26060      0.36255E-02
   0.27662      0.34201E-02
   0.29272      0.32276E-02
   0.30888      0.30527E-02
   0.32511      0.28839E-02
   0.34140      0.27271E-02
   0.35774      0.25755E-02
   0.37412      0.24374E-02
   0.39055      0.23018E-02
   0.40701      0.21730E-02
   0.42351      0.20524E-02
   0.44004      0.19320E-02
   0.45660      0.18169E-02
   0.47319      0.17099E-02
   0.48980      0.16004E-02
   0.50644      0.14949E-02
   0.52309      0.13907E-02
   0.53976      0.12860E-02
   0.55645      0.11821E-02
   0.57315      0.10782E-02
